time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
5.16,18458.71581078926,6500.0,58.80713444613726,-282.69897044951364,0.0,100.40563782370498
5.18,18453.06777184558,6500.0,60.83186954653335,-282.1032943953447,0.0,102.06728805691621
5.2,18447.43174412529,6500.0,62.88980241041392,-281.4978515757574,0.0,103.72540459421138
5.22,18441.807922754655,6500.0,64.98086178959446,-280.8826629519322,0.0,105.37993002954241
5.24,18436.196502437328,6500.0,67.10497528900974,-280.257749822461,0.0,107.0308070811898
5.26,18430.597677447633,6500.0,69.26206936921966,-279.62313382261027,0.0,108.67797859374541
5.28,18425.011641623823,6500.0,71.4520693489559,-278.97883692357186,0.0,110.32138754009169
5.3,18419.438588361383,6500.0,73.67489940770676,-278.32488143170235,0.0,111.96097702337553
5.32,18413.87871060631,6500.0,75.93048258834324,-277.6612899877507,0.0,113.59669027897863
5.34,18408.332200848465,6500.0,78.21874079978173,-276.98808556607463,0.0,115.22847067648223
5.36,18402.79925111488,6500.0,80.53959481968946,-276.30529147384476,0.0,116.85626172162823
5.38,18397.280052963128,6500.0,82.89296429722575,-275.61293135023834,0.0,118.48000705827464
5.4,18391.77479747468,6500.0,85.27876775582502,-274.91102916562016,0.0,120.09965047034709
5.42,18386.28367524831,6500.0,87.6969225960167,-274.19960922071317,0.0,121.71513588378474
5.44,18380.80687639346,6500.0,90.14734509828574,-273.4786961457569,0.0,123.32640736848201
5.46,18375.344590523695,6500.0,92.62995042597011,-272.7483148996548,0.0,124.93340914022455
5.48,18369.89700675011,6500.0,95.14465262819915,-272.0084907691101,0.0,126.53608556262095
5.5,18364.464313674805,6500.0,97.69136464286805,-271.25924936775056,0.0,128.13438114902854
5.5200000000000005,18359.046699384347,6500.0,100.26999829965307,-270.5006166352412,0.0,129.72824056447487
5.54,18353.644351443247,6500.0,102.88046432306349,-269.7326188363869,0.0,131.31760862757295
5.5600000000000005,18348.257456887477,6500.0,105.52267233553272,-268.95528256022243,0.0,132.90243031243224
5.58,18342.886202218007,6500.0,108.1965308605472,-268.16863471909244,0.0,134.48265075056318
5.6000000000000005,18337.530773394323,6500.0,110.90194732581334,-267.37270254771937,0.0,136.0582152327774
5.62,18332.191355828,6500.0,113.63882806646254,-266.56751360226076,0.0,137.62906921108103
5.64,18326.868134376284,6500.0,116.40707832829432,-265.75309575935495,0.0,139.19515830056415
5.66,18321.561293335704,6500.0,119.20660227105637,-264.92947721515634,0.0,140.75642828128292
5.68,18316.27101643566,6500.0,122.03730297176239,-264.096686484359,0.0,142.31282510013705
5.7,18310.997486832093,6500.0,124.89908242804896,-263.2547523992092,0.0,143.86429487274125
5.72,18305.740887101132,6500.0,127.79184156156668,-262.40370410850784,0.0,145.4107838852905
